slug	scientific	common	reason
philydor_erythrocercum	Philydor erythrocercum	Rufous-rumped Foliage-gleaner	not in eBird taxonomy
philydor_fuscipenne	Philydor fuscipenne	Slaty-winged Foliage-gleaner	not in eBird taxonomy
philydor_pyrrhodes	Philydor pyrrhodes	Cinnamon-rumped Foliage-gleaner	ERROR: ebird:crfgle1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
phlegopsis_erythroptera	Phlegopsis erythroptera	Reddish-winged Bare-eye	ERROR: ebird:rwbeye1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
phyllomyias_burmeisteri	Phyllomyias burmeisteri	Rough-legged Tyrannulet	not in eBird taxonomy
phyllomyias_cinereiceps	Phyllomyias cinereiceps	Ashy-headed Tyrannulet	not in eBird taxonomy
phyllomyias_nigrocapillus	Phyllomyias nigrocapillus	Black-capped Tyrannulet	not in eBird taxonomy
phyllomyias_uropygialis	Phyllomyias uropygialis	Tawny-rumped Tyrannulet	not in eBird taxonomy
phyllopalpus_pulchellus	Phyllopalpus pulchellus	Handsome Trig	not in eBird taxonomy
phylloscartes_difficilis	Phylloscartes difficilis	Serra do Mar Tyrannulet	not in eBird taxonomy
phylloscartes_eximius	Phylloscartes eximius	Southern Bristle-Tyrant	not in eBird taxonomy
phylloscartes_lanyoni	Phylloscartes lanyoni	Antioquia Bristle-Tyrant	not in eBird taxonomy
phylloscartes_ophthalmicus	Phylloscartes ophthalmicus	Marble-faced Bristle-Tyrant	not in eBird taxonomy
phylloscartes_paulista	Phylloscartes paulista	Sao Paulo Tyrannulet	not in eBird taxonomy
phylloscartes_poecilotis	Phylloscartes poecilotis	Variegated Bristle-Tyrant	not in eBird taxonomy
phylloscopus_occisinensis	Phylloscopus occisinensis	Alpine Leaf Warbler	not in eBird taxonomy
pitangus_lictor	Pitangus lictor	Lesser Kiskadee	not in eBird taxonomy
platysteira_castanea	Platysteira castanea	Chestnut Wattle-eye	not in eBird taxonomy
porzana_spiloptera	Porzana spiloptera	Dot-winged Crake	not in eBird taxonomy
power_tools	Power tools	Power tools	non-bird event class
psephotus_varius	Psephotus varius	Mulga Parrot	not in eBird taxonomy
pseudacris_brimleyi	Pseudacris brimleyi	Brimley's Chorus Frog	not in eBird taxonomy
pseudacris_clarkii	Pseudacris clarkii	Spotted Chorus Frog	not in eBird taxonomy
pseudacris_crucifer	Pseudacris crucifer	Spring Peeper	not in eBird taxonomy
pseudacris_feriarum	Pseudacris feriarum	Upland Chorus Frog	not in eBird taxonomy
pseudacris_nigrita	Pseudacris nigrita	Southern Chorus Frog	not in eBird taxonomy
pseudacris_ocularis	Pseudacris ocularis	Little Grass Frog	not in eBird taxonomy
pseudacris_ornata	Pseudacris ornata	Ornate Chorus Frog	not in eBird taxonomy
pseudacris_streckeri	Pseudacris streckeri	Strecker's Chorus Frog	not in eBird taxonomy
pseudacris_triseriata	Pseudacris triseriata	Striped Chorus Frog	not in eBird taxonomy
pseudeos_cardinalis	Pseudeos cardinalis	Cardinal Lory	not in eBird taxonomy
psilorhinus_morio	Psilorhinus morio	Brown Jay	not in eBird taxonomy
psittiparus_gularis	Psittiparus gularis	Gray-headed Parrotbill	not in eBird taxonomy
psophocichla_litsitsirupa	Psophocichla litsitsirupa	Groundscraper Thrush	not in eBird taxonomy
pterophylla_camellifolia	Pterophylla camellifolia	Common True Katydid	not in eBird taxonomy
pteruthius_ripleyi	Pteruthius ripleyi	Himalayan Shrike-Babbler	not in eBird taxonomy
ptilinopus_magnificus	Ptilinopus magnificus	Wompoo Fruit-Dove	not in eBird taxonomy
ptilinopus_occipitalis	Ptilinopus occipitalis	Yellow-breasted Fruit-Dove	not in eBird taxonomy
pycnonotus_striatus	Pycnonotus striatus	Striated Bulbul	not in eBird taxonomy
reinwardtipicus_validus	Reinwardtipicus validus	Orange-backed Woodpecker	not in eBird taxonomy
rhodothraupis_celaeno	Rhodothraupis celaeno	Crimson-collared Grosbeak	not in eBird taxonomy
sakesphorus_cristatus	Sakesphorus cristatus	Silvery-cheeked Antshrike	not in eBird taxonomy
scaphiopus_couchii	Scaphiopus couchii	Couch's Spadefoot	not in eBird taxonomy
sciurus_carolinensis	Sciurus carolinensis	Eastern Gray Squirrel	not in eBird taxonomy
scudderia_curvicauda	Scudderia curvicauda	Curve-tailed Bush Katydid	not in eBird taxonomy
scudderia_furcata	Scudderia furcata	Fork-tailed Bush Katydid	not in eBird taxonomy
scudderia_texensis	Scudderia texensis	Texas Bush Katydid	not in eBird taxonomy
sericornis_citreogularis	Sericornis citreogularis	Yellow-throated Scrubwren	not in eBird taxonomy
sericornis_papuensis	Sericornis papuensis	Papuan Scrubwren	not in eBird taxonomy
serpophaga_munda	Serpophaga munda	White-bellied Tyrannulet	not in eBird taxonomy
sinosuthora_webbiana	Sinosuthora webbiana	Vinous-throated Parrotbill	not in eBird taxonomy
siren	Siren	Siren	not in eBird taxonomy
spea_bombifrons	Spea bombifrons	Plains Spadefoot	not in eBird taxonomy
spodiornis_rusticus	Spodiornis rusticus	Slaty Finch	not in eBird taxonomy
sporophila_murallae	Sporophila murallae	Caqueta Seedeater	not in eBird taxonomy
stactolaema_olivacea	Stactolaema olivacea	Green Barbet	not in eBird taxonomy
streptopelia_chinensis	Streptopelia chinensis	Spotted Dove	not in eBird taxonomy
streptopelia_senegalensis	Streptopelia senegalensis	Laughing Dove	not in eBird taxonomy
systellura_decussata	Systellura decussata	Tschudi's Nightjar	not in eBird taxonomy
tamias_striatus	Tamias striatus	Eastern Chipmunk	not in eBird taxonomy
tamiasciurus_hudsonicus	Tamiasciurus hudsonicus	Red Squirrel	not in eBird taxonomy
tauraco_leucotis	Tauraco leucotis	White-cheeked Turaco	not in eBird taxonomy
tauraco_porphyreolophus	Tauraco porphyreolophus	Purple-crested Turaco	not in eBird taxonomy
telophorus_bocagei	Telophorus bocagei	Gray-green Bushshrike	not in eBird taxonomy
telophorus_nigrifrons	Telophorus nigrifrons	Black-fronted Bushshrike	not in eBird taxonomy
telophorus_olivaceus	Telophorus olivaceus	Olive Bushshrike	not in eBird taxonomy
telophorus_sulfureopectus	Telophorus sulfureopectus	Sulphur-breasted Bushshrike	not in eBird taxonomy
trachyphonus_purpuratus	Trachyphonus purpuratus	Yellow-billed Barbet	not in eBird taxonomy
tregellasia_capito	Tregellasia capito	Pale-yellow Robin	not in eBird taxonomy
tumbezia_salvini	Tumbezia salvini	Tumbes Tyrant	not in eBird taxonomy
turdus_poliocephalus	Turdus poliocephalus	Island Thrush	ERROR: https://cdn.download.ams.birds.cornell.edu/api/v2/asset//900 → 404 Client Error: Not Found for url: https://cdn.download.ams.birds.cornell.edu/api/v2/asset//900
urosphena_pallidipes	Urosphena pallidipes	Pale-footed Bush Warbler	not in eBird taxonomy
vanellus_cayanus	Vanellus cayanus	Pied Lapwing	not in eBird taxonomy
