slug	scientific	common	reason
calyptorhynchus_funereus	Calyptorhynchus funereus	Yellow-tailed Black-Cockatoo	not in eBird taxonomy
calyptorhynchus_latirostris	Calyptorhynchus latirostris	Carnaby's Black-Cockatoo	not in eBird taxonomy
campethera_cailliautii	Campethera cailliautii	Green-backed Woodpecker	not in eBird taxonomy
canis_latrans	Canis latrans	Coyote	not in eBird taxonomy
canis_lupus	Canis lupus	Gray Wolf	not in eBird taxonomy
caprimulgus_nigriscapularis	Caprimulgus nigriscapularis	Black-shouldered Nightjar	not in eBird taxonomy
cecropis_striolata	Cecropis striolata	Striated Swallow	not in eBird taxonomy
celeus_grammicus	Celeus grammicus	Scale-breasted Woodpecker	not in eBird taxonomy
cercotrichas_barbata	Cercotrichas barbata	Miombo Scrub-Robin	not in eBird taxonomy
cercotrichas_coryphoeus	Cercotrichas coryphoeus	Karoo Scrub-Robin	not in eBird taxonomy
cercotrichas_quadrivirgata	Cercotrichas quadrivirgata	Bearded Scrub-Robin	not in eBird taxonomy
cercotrichas_signata	Cercotrichas signata	Brown Scrub-Robin	not in eBird taxonomy
charadrius_alexandrinus	Charadrius alexandrinus	Kentish Plover	not in eBird taxonomy
charadrius_bicinctus	Charadrius bicinctus	Double-banded Plover	not in eBird taxonomy
charadrius_collaris	Charadrius collaris	Collared Plover	not in eBird taxonomy
charadrius_dubius	Charadrius dubius	Little Ringed Plover	not in eBird taxonomy
charadrius_falklandicus	Charadrius falklandicus	Two-banded Plover	not in eBird taxonomy
charadrius_javanicus	Charadrius javanicus	Javan Plover	not in eBird taxonomy
charadrius_leschenaultii	Charadrius leschenaultii	Greater Sand-Plover	not in eBird taxonomy
charadrius_modestus	Charadrius modestus	Rufous-chested Dotterel	not in eBird taxonomy
charadrius_mongolus	Charadrius mongolus	Lesser Sand-Plover	not in eBird taxonomy
charadrius_montanus	Charadrius montanus	Mountain Plover	not in eBird taxonomy
charadrius_morinellus	Charadrius morinellus	Eurasian Dotterel	not in eBird taxonomy
charadrius_nivosus	Charadrius nivosus	Snowy Plover	not in eBird taxonomy
charadrius_peronii	Charadrius peronii	Malaysian Plover	not in eBird taxonomy
charadrius_placidus	Charadrius placidus	Long-billed Plover	not in eBird taxonomy
charadrius_tricollaris	Charadrius tricollaris	Three-banded Plover	not in eBird taxonomy
